,Symbol,Year,Month,Day,Open,High,Low,Close,Volume,Date,Good_time_to_Buy,Uncertain,Bad_time_to_Buy,Relative
10971,TM,2015,1,2,119.62,120.01,118.34,119.08,263779,2015-01-31,74.0,3.0,23.0,151.0
10972,TM,2015,1,5,117.93,118.09,116.6,116.91,253842,2015-01-31,74.0,3.0,23.0,151.0
10973,TM,2015,1,6,116.94,117.25,114.87,115.71,301389,2015-01-31,74.0,3.0,23.0,151.0
10974,TM,2015,1,7,118.94,119.47,118.51,118.62,407050,2015-01-31,74.0,3.0,23.0,151.0
10975,TM,2015,1,8,119.82,121.02,119.82,120.9,526309,2015-01-31,74.0,3.0,23.0,151.0
10976,TM,2015,1,9,121.09,121.09,119.39,119.49,158612,2015-01-31,74.0,3.0,23.0,151.0
10977,TM,2015,1,12,119.87,121.06,118.79,119.45,323736,2015-01-31,74.0,3.0,23.0,151.0
10978,TM,2015,1,13,120.4,121.18,119.04,119.78,266844,2015-01-31,74.0,3.0,23.0,151.0
10979,TM,2015,1,14,118.86,119.39,118.1,119.23,384290,2015-01-31,74.0,3.0,23.0,151.0
10980,TM,2015,1,15,121.18,121.65,120.0,120.15,327585,2015-01-31,74.0,3.0,23.0,151.0
10981,TM,2015,1,16,121.6,122.24,121.34,122.12,466026,2015-01-31,74.0,3.0,23.0,151.0
10982,TM,2015,1,20,122.82,123.0,122.01,122.4,460841,2015-01-31,74.0,3.0,23.0,151.0
10983,TM,2015,1,21,121.64,122.07,121.3,121.93,640188,2015-01-31,74.0,3.0,23.0,151.0
10984,TM,2015,1,22,122.21,123.41,121.25,123.06,248487,2015-01-31,74.0,3.0,23.0,151.0
10985,TM,2015,1,23,123.2,123.4,122.72,122.86,309066,2015-01-31,74.0,3.0,23.0,151.0
10986,TM,2015,1,26,124.13,125.38,124.13,124.95,369968,2015-01-31,74.0,3.0,23.0,151.0
10987,TM,2015,1,27,124.19,124.84,124.03,124.23,318732,2015-01-31,74.0,3.0,23.0,151.0
10988,TM,2015,1,28,125.3,125.49,123.86,124.1,305238,2015-01-31,74.0,3.0,23.0,151.0
10989,TM,2015,1,29,124.6,125.26,124.09,125.23,434578,2015-01-31,74.0,3.0,23.0,151.0
10990,TM,2015,1,30,122.71,123.18,121.95,122.09,289038,2015-01-31,74.0,3.0,23.0,151.0
10991,TTM,2015,1,2,43.54600000000001,43.925,43.256,43.825,966878,2015-01-31,74.0,3.0,23.0,151.0
10992,TTM,2015,1,5,44.305,44.765,42.806,43.056,1770947,2015-01-31,74.0,3.0,23.0,151.0
10993,TTM,2015,1,6,42.506,42.606,40.637,40.796,1808854,2015-01-31,74.0,3.0,23.0,151.0
10994,TTM,2015,1,7,41.58600000000001,42.44600000000001,40.836,42.316,1505116,2015-01-31,74.0,3.0,23.0,151.0
10995,TTM,2015,1,8,43.675,44.925,43.43600000000001,44.725,2262375,2015-01-31,74.0,3.0,23.0,151.0
10996,TTM,2015,1,9,44.275,44.585,43.606,43.815,804209,2015-01-31,74.0,3.0,23.0,151.0
10997,TTM,2015,1,12,44.025,44.285,43.256,43.636,1203091,2015-01-31,74.0,3.0,23.0,151.0
10998,TTM,2015,1,13,44.055,44.705,43.905,44.505,1897187,2015-01-31,74.0,3.0,23.0,151.0
10999,TTM,2015,1,14,43.855,44.165,42.87600000000001,43.576,1618606,2015-01-31,74.0,3.0,23.0,151.0
11000,TTM,2015,1,15,45.225,45.425,44.775,45.105,1517816,2015-01-31,74.0,3.0,23.0,151.0
11001,TTM,2015,1,16,45.105,45.425,44.645,45.195,873139,2015-01-31,74.0,3.0,23.0,151.0
11002,TTM,2015,1,20,46.974,47.124,45.935,45.985,2615922,2015-01-31,74.0,3.0,23.0,151.0
11003,TTM,2015,1,21,45.875,46.88399999999999,45.755,46.764,1545958,2015-01-31,74.0,3.0,23.0,151.0
11004,TTM,2015,1,22,47.404,48.894,46.425,48.824,3046457,2015-01-31,74.0,3.0,23.0,151.0
11005,TTM,2015,1,23,49.444,50.723,49.284,50.703,2269679,2015-01-31,74.0,3.0,23.0,151.0
11006,TTM,2015,1,26,50.733,51.713,50.633,51.423,2347477,2015-01-31,74.0,3.0,23.0,151.0
11007,TTM,2015,1,27,50.26300000000001,51.393,50.26300000000001,50.643,2556568,2015-01-31,74.0,3.0,23.0,151.0
11008,TTM,2015,1,28,50.393,50.823,49.903,50.003,1265003,2015-01-31,74.0,3.0,23.0,151.0
11009,TTM,2015,1,29,50.603,51.183,49.743,51.133,1603636,2015-01-31,74.0,3.0,23.0,151.0
11010,TTM,2015,1,30,49.87300000000001,50.093,48.714,49.304,1329125,2015-01-31,74.0,3.0,23.0,151.0
11011,HMC,2015,1,2,28.962,29.07,28.729,28.886,1178997,2015-01-31,74.0,3.0,23.0,151.0
11012,HMC,2015,1,5,28.67,28.7,28.27,28.289,1519778,2015-01-31,74.0,3.0,23.0,151.0
11013,HMC,2015,1,6,28.387,28.435,27.927,28.132,792680,2015-01-31,74.0,3.0,23.0,151.0
11014,HMC,2015,1,7,28.377,28.533,28.241,28.416,834511,2015-01-31,74.0,3.0,23.0,151.0
11015,HMC,2015,1,8,28.611,28.904,28.611,28.777,744332,2015-01-31,74.0,3.0,23.0,151.0
11016,HMC,2015,1,9,28.952,28.952,28.7,28.71,882381,2015-01-31,74.0,3.0,23.0,151.0
11017,HMC,2015,1,12,28.747,28.786,28.485,28.71,863143,2015-01-31,74.0,3.0,23.0,151.0
11018,HMC,2015,1,13,29.051,29.325,28.796,29.099,2278812,2015-01-31,74.0,3.0,23.0,151.0
11019,HMC,2015,1,14,29.295,29.637,29.197,29.529,2698547,2015-01-31,74.0,3.0,23.0,151.0
11020,HMC,2015,1,15,29.831,29.831,29.441,29.577,1143441,2015-01-31,74.0,3.0,23.0,151.0
11021,HMC,2015,1,16,29.9,30.114,29.88,30.105,1168510,2015-01-31,74.0,3.0,23.0,151.0
11022,HMC,2015,1,20,30.105,30.222,29.949,30.046,2018327,2015-01-31,74.0,3.0,23.0,151.0
11023,HMC,2015,1,21,30.105,30.35,30.027,30.35,937617,2015-01-31,74.0,3.0,23.0,151.0
11024,HMC,2015,1,22,30.29,30.652,30.183000000000003,30.534,837010,2015-01-31,74.0,3.0,23.0,151.0
11025,HMC,2015,1,23,30.573,30.612,30.417,30.426,999550,2015-01-31,74.0,3.0,23.0,151.0
11026,HMC,2015,1,26,30.261,30.36,30.261,30.32,701904,2015-01-31,74.0,3.0,23.0,151.0
11027,HMC,2015,1,27,30.27,30.3,29.949,30.095,846578,2015-01-31,74.0,3.0,23.0,151.0
11028,HMC,2015,1,28,30.095,30.212,29.675,29.754,1085152,2015-01-31,74.0,3.0,23.0,151.0
11029,HMC,2015,1,29,29.968000000000004,29.968000000000004,29.655,29.9,1573848,2015-01-31,74.0,3.0,23.0,151.0
11030,HMC,2015,1,30,29.491,29.617,29.285,29.5,1886537,2015-01-31,74.0,3.0,23.0,151.0
11031,GM,2015,1,2,31.268,31.304,30.506,30.887,11004111,2015-01-31,74.0,3.0,23.0,151.0
11032,GM,2015,1,5,31.011,31.252,30.205,30.435,18298725,2015-01-31,74.0,3.0,23.0,151.0
11033,GM,2015,1,6,30.506,31.224,30.231,30.897,20018466,2015-01-31,74.0,3.0,23.0,151.0
11034,GM,2015,1,7,31.234,31.872,31.065,31.774,21791043,2015-01-31,74.0,3.0,23.0,151.0
11035,GM,2015,1,8,31.969,32.315,31.739,32.094,17152309,2015-01-31,74.0,3.0,23.0,151.0
11036,GM,2015,1,9,32.103,32.243,31.394,31.551,16569875,2015-01-31,74.0,3.0,23.0,151.0
11037,GM,2015,1,12,31.747,31.863000000000003,31.445,31.774,12019749,2015-01-31,74.0,3.0,23.0,151.0
11038,GM,2015,1,13,31.987,32.271,30.746,31.252,24694495,2015-01-31,74.0,3.0,23.0,151.0
11039,GM,2015,1,14,30.465,30.649,29.78,30.408,31469829,2015-01-31,74.0,3.0,23.0,151.0
11040,GM,2015,1,15,30.835,30.915,29.593000000000004,29.638,21924406,2015-01-31,74.0,3.0,23.0,151.0
11041,GM,2015,1,16,29.549,29.956,29.497,29.861,20055045,2015-01-31,74.0,3.0,23.0,151.0
11042,GM,2015,1,20,30.055,30.151,29.568,30.081,13505800,2015-01-31,74.0,3.0,23.0,151.0
11043,GM,2015,1,21,29.983,30.249,29.717,30.045,16186094,2015-01-31,74.0,3.0,23.0,151.0
11044,GM,2015,1,22,30.277,30.303,29.53,29.983,16085871,2015-01-31,74.0,3.0,23.0,151.0
11045,GM,2015,1,23,30.055,30.303,29.884,29.921,15778652,2015-01-31,74.0,3.0,23.0,151.0
11046,GM,2015,1,26,29.884,30.178,29.788,29.878,12209895,2015-01-31,74.0,3.0,23.0,151.0
11047,GM,2015,1,27,29.61,29.869,29.39,29.628,16686216,2015-01-31,74.0,3.0,23.0,151.0
11048,GM,2015,1,28,29.708,29.762,29.035,29.115,16426841,2015-01-31,74.0,3.0,23.0,151.0
11049,GM,2015,1,29,29.176,29.559,28.689,29.399,17843245,2015-01-31,74.0,3.0,23.0,151.0
11050,GM,2015,1,30,29.15,29.39,28.91800000000001,28.91800000000001,21617159,2015-01-31,74.0,3.0,23.0,151.0
11051,F,2015,1,2,13.264,13.313,12.915,13.066,29125842,2015-01-31,74.0,3.0,23.0,151.0
11052,F,2015,1,5,12.862,12.871,12.497,12.557,51817449,2015-01-31,74.0,3.0,23.0,151.0
11053,F,2015,1,6,12.657,12.674,12.232,12.437,38765444,2015-01-31,74.0,3.0,23.0,151.0
11054,F,2015,1,7,12.573,12.837,12.565,12.794,30636078,2015-01-31,74.0,3.0,23.0,151.0
11055,F,2015,1,8,13.1,13.169,12.957,13.116,39894426,2015-01-31,74.0,3.0,23.0,151.0
11056,F,2015,1,9,13.152,13.162,12.811,12.937,27531411,2015-01-31,74.0,3.0,23.0,151.0
11057,F,2015,1,12,13.023,13.033,12.852,12.947,26735724,2015-01-31,74.0,3.0,23.0,151.0
11058,F,2015,1,13,13.085,13.169,12.829,12.937,30890680,2015-01-31,74.0,3.0,23.0,151.0
11059,F,2015,1,14,12.82,12.897,12.616,12.852,43252998,2015-01-31,74.0,3.0,23.0,151.0
11060,F,2015,1,15,12.862,12.897,12.589,12.642,29364265,2015-01-31,74.0,3.0,23.0,151.0
11061,F,2015,1,16,12.598,12.794,12.549,12.776,37719427,2015-01-31,74.0,3.0,23.0,151.0
11062,F,2015,1,20,12.829,12.871,12.549,12.767,33453037,2015-01-31,74.0,3.0,23.0,151.0
11063,F,2015,1,21,12.743,12.852,12.657,12.736,27357711,2015-01-31,74.0,3.0,23.0,151.0
11064,F,2015,1,22,12.767,12.82,12.674,12.786,27817481,2015-01-31,74.0,3.0,23.0,151.0
11065,F,2015,1,23,12.776,12.829,12.666,12.684,25413301,2015-01-31,74.0,3.0,23.0,151.0
11066,F,2015,1,26,12.743,12.887,12.736,12.829,29655640,2015-01-31,74.0,3.0,23.0,151.0
11067,F,2015,1,27,12.718,12.751,12.521,12.632,40682562,2015-01-31,74.0,3.0,23.0,151.0
11068,F,2015,1,28,12.744000000000002,12.744000000000002,12.392,12.425999999999998,46198581,2015-01-31,74.0,3.0,23.0,151.0
11069,F,2015,1,29,12.565,12.855,12.288,12.761,47379957,2015-01-31,74.0,3.0,23.0,151.0
11070,F,2015,1,30,12.666,12.796,12.572,12.642,35417799,2015-01-31,74.0,3.0,23.0,151.0
11071,TM,2015,2,2,123.3,124.26,122.91,124.22,295658,2015-02-28,69.0,5.0,26.0,143.0
11072,TM,2015,2,3,122.71,124.3,122.66,124.23,483288,2015-02-28,69.0,5.0,26.0,143.0
11073,TM,2015,2,4,125.27,127.2,125.27,125.73,497379,2015-02-28,69.0,5.0,26.0,143.0
11074,TM,2015,2,5,124.13,125.01,123.94,124.85,472927,2015-02-28,69.0,5.0,26.0,143.0
11075,TM,2015,2,6,122.97,123.65,122.61,122.78,406135,2015-02-28,69.0,5.0,26.0,143.0
11076,TM,2015,2,9,122.69,122.95,122.2,122.4,196259,2015-02-28,69.0,5.0,26.0,143.0
11077,TM,2015,2,10,122.91,124.19,122.91,124.0,241712,2015-02-28,69.0,5.0,26.0,143.0
11078,TM,2015,2,11,123.96,124.37,123.9,124.16,474032,2015-02-28,69.0,5.0,26.0,143.0
11079,TM,2015,2,12,124.59,125.08,124.33,124.92,345681,2015-02-28,69.0,5.0,26.0,143.0
11080,TM,2015,2,13,125.08,125.84,125.08,125.56,317643,2015-02-28,69.0,5.0,26.0,143.0
11081,TM,2015,2,17,125.3,125.74,125.09,125.16,385548,2015-02-28,69.0,5.0,26.0,143.0
11082,TM,2015,2,18,126.65,127.32,126.65,127.14,272661,2015-02-28,69.0,5.0,26.0,143.0
11083,TM,2015,2,19,127.46,128.4,127.34,128.2,230664,2015-02-28,69.0,5.0,26.0,143.0
11084,TM,2015,2,20,128.82,129.82,128.74,129.73,253084,2015-02-28,69.0,5.0,26.0,143.0
11085,TM,2015,2,23,129.73,130.01,129.26,129.81,210798,2015-02-28,69.0,5.0,26.0,143.0
11086,TM,2015,2,24,130.39,131.45,130.05,131.09,353485,2015-02-28,69.0,5.0,26.0,143.0
11087,TM,2015,2,25,129.64,129.96,129.25,129.71,249930,2015-02-28,69.0,5.0,26.0,143.0
11088,TM,2015,2,26,129.71,130.26,129.48,129.64,272299,2015-02-28,69.0,5.0,26.0,143.0
11089,TM,2015,2,27,128.27,128.69,128.27,128.29,232071,2015-02-28,69.0,5.0,26.0,143.0
11090,TTM,2015,2,2,49.823,50.87300000000001,49.793,50.743,1106645,2015-02-28,69.0,5.0,26.0,143.0
11091,TTM,2015,2,3,51.243,51.783,50.563,51.453,1824706,2015-02-28,69.0,5.0,26.0,143.0
11092,TTM,2015,2,4,50.76300000000001,51.033,49.444,50.523,1450466,2015-02-28,69.0,5.0,26.0,143.0
11093,TTM,2015,2,5,49.813,50.233,47.284,47.834,3350539,2015-02-28,69.0,5.0,26.0,143.0
11094,TTM,2015,2,6,47.81399999999999,47.874,46.495,46.655,1993031,2015-02-28,69.0,5.0,26.0,143.0
11095,TTM,2015,2,9,45.985,46.684,45.565,46.425,1102439,2015-02-28,69.0,5.0,26.0,143.0
11096,TTM,2015,2,10,47.494,48.234,47.38399999999999,47.774,1203530,2015-02-28,69.0,5.0,26.0,143.0
11097,TTM,2015,2,11,47.594,47.934,47.044,47.764,1018901,2015-02-28,69.0,5.0,26.0,143.0
11098,TTM,2015,2,12,47.894,48.354,47.554,47.904,1239597,2015-02-28,69.0,5.0,26.0,143.0
11099,TTM,2015,2,13,48.184,48.754,47.944,48.324,748727,2015-02-28,69.0,5.0,26.0,143.0
11100,TTM,2015,2,17,48.324,49.054,48.264,48.644,1229628,2015-02-28,69.0,5.0,26.0,143.0
11101,TTM,2015,2,18,49.104,49.274,48.824,48.904,504078,2015-02-28,69.0,5.0,26.0,143.0
11102,TTM,2015,2,19,48.414,49.534,48.20399999999999,49.20399999999999,612027,2015-02-28,69.0,5.0,26.0,143.0
11103,TTM,2015,2,20,48.744,49.644,48.714,49.544,517201,2015-02-28,69.0,5.0,26.0,143.0
11104,TTM,2015,2,23,48.964,48.984,48.504,48.95399999999999,851362,2015-02-28,69.0,5.0,26.0,143.0
11105,TTM,2015,2,24,48.184,48.38399999999999,47.594,48.264,996711,2015-02-28,69.0,5.0,26.0,143.0
11106,TTM,2015,2,25,48.434,48.524,48.114,48.414,430105,2015-02-28,69.0,5.0,26.0,143.0
11107,TTM,2015,2,26,47.924,48.724,47.88399999999999,48.63399999999999,815754,2015-02-28,69.0,5.0,26.0,143.0
11108,TTM,2015,2,27,48.88399999999999,49.434,48.624,49.20399999999999,998060,2015-02-28,69.0,5.0,26.0,143.0
11109,HMC,2015,2,2,30.602,30.866,30.525,30.837,1228379,2015-02-28,69.0,5.0,26.0,143.0
11110,HMC,2015,2,3,30.27,30.496,30.174,30.486,1555444,2015-02-28,69.0,5.0,26.0,143.0
11111,HMC,2015,2,4,30.652,30.807,30.564,30.573,798964,2015-02-28,69.0,5.0,26.0,143.0
11112,HMC,2015,2,5,31.11,31.286,31.11,31.227,1226007,2015-02-28,69.0,5.0,26.0,143.0
11113,HMC,2015,2,6,31.393,31.52,31.236,31.266,813191,2015-02-28,69.0,5.0,26.0,143.0
11114,HMC,2015,2,9,31.236,31.336,31.091,31.17,494872,2015-02-28,69.0,5.0,26.0,143.0
11115,HMC,2015,2,10,31.539,31.735,31.326,31.715,1268879,2015-02-28,69.0,5.0,26.0,143.0
11116,HMC,2015,2,11,31.609,31.804,31.56900000000001,31.725,747550,2015-02-28,69.0,5.0,26.0,143.0
11117,HMC,2015,2,12,31.755,31.989,31.725,31.951,775040,2015-02-28,69.0,5.0,26.0,143.0
11118,HMC,2015,2,13,32.018,32.214,32.008,32.087,514452,2015-02-28,69.0,5.0,26.0,143.0
11119,HMC,2015,2,17,32.214,32.418,32.204,32.34,435240,2015-02-28,69.0,5.0,26.0,143.0
11120,HMC,2015,2,18,32.34,32.545,32.34,32.458,491614,2015-02-28,69.0,5.0,26.0,143.0
11121,HMC,2015,2,19,32.458,32.614000000000004,32.399,32.574,650526,2015-02-28,69.0,5.0,26.0,143.0
11122,HMC,2015,2,20,32.555,32.75,32.477,32.711,463778,2015-02-28,69.0,5.0,26.0,143.0
11123,HMC,2015,2,23,32.33,32.574,32.184,32.506,1639711,2015-02-28,69.0,5.0,26.0,143.0
11124,HMC,2015,2,24,32.214,32.448,32.038000000000004,32.399,955993,2015-02-28,69.0,5.0,26.0,143.0
11125,HMC,2015,2,25,32.37,32.594,32.291,32.535,702271,2015-02-28,69.0,5.0,26.0,143.0
11126,HMC,2015,2,26,32.76,32.916,32.74,32.858000000000004,764327,2015-02-28,69.0,5.0,26.0,143.0
11127,HMC,2015,2,27,32.516,32.604,32.311,32.35,2190215,2015-02-28,69.0,5.0,26.0,143.0
11128,GM,2015,2,2,28.964,29.39,28.76,29.352,20750068,2015-02-28,69.0,5.0,26.0,143.0
11129,GM,2015,2,3,29.699,30.32,29.648000000000003,30.126,29556993,2015-02-28,69.0,5.0,26.0,143.0
11130,GM,2015,2,4,31.268,31.898000000000003,30.277,31.764,55605891,2015-02-28,69.0,5.0,26.0,143.0
11131,GM,2015,2,5,32.164,32.448,31.925,32.138000000000005,23523010,2015-02-28,69.0,5.0,26.0,143.0
11132,GM,2015,2,6,32.164,32.394,31.844,31.915,18408282,2015-02-28,69.0,5.0,26.0,143.0
11133,GM,2015,2,9,31.731,32.005,31.482,31.915,16690407,2015-02-28,69.0,5.0,26.0,143.0
11134,GM,2015,2,10,33.05,33.29,32.271,33.264,36499615,2015-02-28,69.0,5.0,26.0,143.0
11135,GM,2015,2,11,33.255,33.565,33.05,33.396,25520930,2015-02-28,69.0,5.0,26.0,143.0
11136,GM,2015,2,12,33.555,33.847,33.45,33.707,17524260,2015-02-28,69.0,5.0,26.0,143.0
11137,GM,2015,2,13,33.626999999999995,33.751,33.111999999999995,33.353,16573114,2015-02-28,69.0,5.0,26.0,143.0
11138,GM,2015,2,17,32.98,33.219,32.848,33.016,14828855,2015-02-28,69.0,5.0,26.0,143.0
11139,GM,2015,2,18,33.024,33.219,32.92,32.97,9601972,2015-02-28,69.0,5.0,26.0,143.0
11140,GM,2015,2,19,32.83,33.345,32.784,33.255,13284212,2015-02-28,69.0,5.0,26.0,143.0
11141,GM,2015,2,20,33.236999999999995,33.441,32.944,33.376999999999995,10540924,2015-02-28,69.0,5.0,26.0,143.0
11142,GM,2015,2,23,33.353,33.485,33.104,33.414,12374742,2015-02-28,69.0,5.0,26.0,143.0
11143,GM,2015,2,24,33.353,33.61,33.316,33.467,9657237,2015-02-28,69.0,5.0,26.0,143.0
11144,GM,2015,2,25,33.504,33.654,33.345,33.565,12586187,2015-02-28,69.0,5.0,26.0,143.0
11145,GM,2015,2,26,33.522,33.806,33.255,33.3,12078000,2015-02-28,69.0,5.0,26.0,143.0
11146,GM,2015,2,27,33.14,33.201,32.901,33.078,11832457,2015-02-28,69.0,5.0,26.0,143.0
11147,F,2015,2,2,12.675,13.148,12.657,13.121,46975834,2015-02-28,69.0,5.0,26.0,143.0
11148,F,2015,2,3,13.294,13.57,13.267,13.448,56244691,2015-02-28,69.0,5.0,26.0,143.0
11149,F,2015,2,4,13.475,13.767,13.448,13.639,47918977,2015-02-28,69.0,5.0,26.0,143.0
11150,F,2015,2,5,13.759,13.767,13.534,13.621,29917471,2015-02-28,69.0,5.0,26.0,143.0
11151,F,2015,2,6,13.612,13.75,13.553,13.630999999999998,32799130,2015-02-28,69.0,5.0,26.0,143.0
11152,F,2015,2,9,13.544,13.776,13.508,13.681,23605729,2015-02-28,69.0,5.0,26.0,143.0
11153,F,2015,2,10,13.793,13.871,13.672,13.826,32493020,2015-02-28,69.0,5.0,26.0,143.0
11154,F,2015,2,11,13.818,14.017,13.759,13.963,39895934,2015-02-28,69.0,5.0,26.0,143.0
11155,F,2015,2,12,14.025,14.134,14.008,14.058,27620146,2015-02-28,69.0,5.0,26.0,143.0
11156,F,2015,2,13,14.033,14.058,13.913,14.008,23219566,2015-02-28,69.0,5.0,26.0,143.0
11157,F,2015,2,17,13.923,14.008,13.75,13.845999999999998,51617743,2015-02-28,69.0,5.0,26.0,143.0
11158,F,2015,2,18,13.885,14.033,13.8,13.932,26544419,2015-02-28,69.0,5.0,26.0,143.0
11159,F,2015,2,19,13.913,14.162,13.894,14.12,28932627,2015-02-28,69.0,5.0,26.0,143.0
11160,F,2015,2,20,14.085,14.144,13.963,14.095,25037598,2015-02-28,69.0,5.0,26.0,143.0
11161,F,2015,2,23,14.033,14.134,14.0,14.075,22128045,2015-02-28,69.0,5.0,26.0,143.0
11162,F,2015,2,24,14.058,14.112,13.99,14.058,20564941,2015-02-28,69.0,5.0,26.0,143.0
11163,F,2015,2,25,14.041,14.284,14.041,14.189,27136941,2015-02-28,69.0,5.0,26.0,143.0
11164,F,2015,2,26,14.095,14.239,14.067,14.075,24202291,2015-02-28,69.0,5.0,26.0,143.0
11165,F,2015,2,27,14.075,14.095,13.94,14.041,23665479,2015-02-28,69.0,5.0,26.0,143.0
11166,TM,2015,3,2,128.17,128.88,128.17,128.75,268456,2015-03-31,66.0,7.0,27.0,139.0
11167,TM,2015,3,3,128.2,128.73,127.99,128.32,220336,2015-03-31,66.0,7.0,27.0,139.0
11168,TM,2015,3,4,128.32,128.49,127.36,128.43,216855,2015-03-31,66.0,7.0,27.0,139.0
11169,TM,2015,3,5,127.89,128.33,127.6,127.83,245663,2015-03-31,66.0,7.0,27.0,139.0
11170,TM,2015,3,6,128.24,128.86,127.65,127.82,194905,2015-03-31,66.0,7.0,27.0,139.0
11171,TM,2015,3,9,128.41,128.54,127.87,128.31,183615,2015-03-31,66.0,7.0,27.0,139.0
11172,TM,2015,3,10,127.13,127.34,126.6,126.69,233105,2015-03-31,66.0,7.0,27.0,139.0
11173,TM,2015,3,11,127.17,127.41,126.82,126.99,235005,2015-03-31,66.0,7.0,27.0,139.0
11174,TM,2015,3,12,129.14,130.46,129.05,130.33,330398,2015-03-31,66.0,7.0,27.0,139.0
11175,TM,2015,3,13,128.74,129.24,128.37,129.05,414924,2015-03-31,66.0,7.0,27.0,139.0
11176,TM,2015,3,16,130.23,130.91,129.98,130.32,285973,2015-03-31,66.0,7.0,27.0,139.0
11177,TM,2015,3,17,129.83,130.18,129.45,129.79,861614,2015-03-31,66.0,7.0,27.0,139.0
11178,TM,2015,3,18,131.81,132.92,131.24,132.75,483094,2015-03-31,66.0,7.0,27.0,139.0
11179,TM,2015,3,19,132.81,133.23,132.33,132.77,327761,2015-03-31,66.0,7.0,27.0,139.0
11180,TM,2015,3,20,135.15,135.99,135.07,135.59,429277,2015-03-31,66.0,7.0,27.0,139.0
11181,TM,2015,3,23,137.73,138.16,137.35,137.72,507681,2015-03-31,66.0,7.0,27.0,139.0
11182,TM,2015,3,24,137.56,137.63,136.84,136.96,320374,2015-03-31,66.0,7.0,27.0,139.0
11183,TM,2015,3,25,137.65,137.65,136.25,136.28,347072,2015-03-31,66.0,7.0,27.0,139.0
11184,TM,2015,3,26,135.51,136.14,135.24,135.61,342219,2015-03-31,66.0,7.0,27.0,139.0
11185,TM,2015,3,27,136.59,136.75,136.0,136.65,248120,2015-03-31,66.0,7.0,27.0,139.0
11186,TM,2015,3,30,135.95,137.17,135.67,136.79,504472,2015-03-31,66.0,7.0,27.0,139.0
11187,TM,2015,3,31,135.25,135.25,134.07,134.24,578477,2015-03-31,66.0,7.0,27.0,139.0
11188,TTM,2015,3,2,49.344,50.043,48.674,48.894,1410368,2015-03-31,66.0,7.0,27.0,139.0
11189,TTM,2015,3,3,48.694,48.854,47.374,47.594,1445580,2015-03-31,66.0,7.0,27.0,139.0
11190,TTM,2015,3,4,48.094,48.574,47.554,48.334,876791,2015-03-31,66.0,7.0,27.0,139.0
11191,TTM,2015,3,5,48.404,48.754,48.164,48.434,821773,2015-03-31,66.0,7.0,27.0,139.0
11192,TTM,2015,3,6,47.984,48.414,47.594,47.684,761853,2015-03-31,66.0,7.0,27.0,139.0
11193,TTM,2015,3,9,47.95399999999999,47.95399999999999,47.394,47.484,708935,2015-03-31,66.0,7.0,27.0,139.0
11194,TTM,2015,3,10,47.234,47.244,46.575,46.914,721039,2015-03-31,66.0,7.0,27.0,139.0
11195,TTM,2015,3,11,46.515,46.565,45.865,46.505,721540,2015-03-31,66.0,7.0,27.0,139.0
11196,TTM,2015,3,12,47.284,48.004,47.194,47.554,1010235,2015-03-31,66.0,7.0,27.0,139.0
11197,TTM,2015,3,13,46.944,47.184,46.525,46.844,618605,2015-03-31,66.0,7.0,27.0,139.0
11198,TTM,2015,3,16,47.124,47.424,46.844,46.894,434644,2015-03-31,66.0,7.0,27.0,139.0
11199,TTM,2015,3,17,47.214,47.754,47.044,47.524,938712,2015-03-31,66.0,7.0,27.0,139.0
11200,TTM,2015,3,18,47.054,48.054,46.70399999999999,47.754,907601,2015-03-31,66.0,7.0,27.0,139.0
11201,TTM,2015,3,19,46.784,46.964,46.245,46.385,862386,2015-03-31,66.0,7.0,27.0,139.0
11202,TTM,2015,3,20,46.794,47.264,46.455,46.88399999999999,557685,2015-03-31,66.0,7.0,27.0,139.0
11203,TTM,2015,3,23,46.834,47.174,46.70399999999999,46.70399999999999,748449,2015-03-31,66.0,7.0,27.0,139.0
11204,TTM,2015,3,24,45.595,45.915,45.385,45.555,1740778,2015-03-31,66.0,7.0,27.0,139.0
11205,TTM,2015,3,25,45.695,45.695,44.035,44.135,1731075,2015-03-31,66.0,7.0,27.0,139.0
11206,TTM,2015,3,26,43.905,44.105,43.29600000000001,43.326,1537811,2015-03-31,66.0,7.0,27.0,139.0
11207,TTM,2015,3,27,44.205,44.205,43.775,43.985,1551615,2015-03-31,66.0,7.0,27.0,139.0
11208,TTM,2015,3,30,45.025,45.515,44.435,44.505,1691162,2015-03-31,66.0,7.0,27.0,139.0
11209,TTM,2015,3,31,45.075,45.575,44.635,45.045,1928687,2015-03-31,66.0,7.0,27.0,139.0
11210,HMC,2015,3,2,32.261,32.477,32.244,32.418,2488625,2015-03-31,66.0,7.0,27.0,139.0
11211,HMC,2015,3,3,32.506,32.604,32.399,32.458,496947,2015-03-31,66.0,7.0,27.0,139.0
11212,HMC,2015,3,4,32.409,32.409,32.164,32.291,757764,2015-03-31,66.0,7.0,27.0,139.0
11213,HMC,2015,3,5,32.477,32.526,32.35,32.448,354245,2015-03-31,66.0,7.0,27.0,139.0
11214,HMC,2015,3,6,32.886,32.966,32.634,32.72,962443,2015-03-31,66.0,7.0,27.0,139.0
11215,HMC,2015,3,9,32.701,32.77,32.496,32.663000000000004,987951,2015-03-31,66.0,7.0,27.0,139.0
